name,age,has_spouse,spouse_accompanying,education_level,canadian_education,first_lang_speaking,first_lang_listening,first_lang_reading,first_lang_writing,has_second_language,second_lang_speaking,second_lang_listening,second_lang_reading,second_lang_writing,canadian_work_experience,foreign_work_experience,has_sibling_in_canada,has_job_offer,has_provincial_nomination,clb7_and_post_secondary,post_secondary_and_canadian_exp,foreign_and_canadian_exp,trade_certificate,spouse_education_level,spouse_canadian_exp,spouse_lang_speaking,spouse_lang_listening,spouse_lang_reading,spouse_lang_writing,crs_score,improvement_strategy
Colton Fry,22,True,True,8,0,12,4,7,9,False,0,0,0,0,1,1,False,1,False,False,True,True,True,5,3,9,10,5,12,703,"improve language test scores, gain more Canadian work experience, learn second official language"
Mr. Justin Ford,25,True,True,3,3,8,5,8,12,True,5,8,8,6,0,5,False,0,True,False,False,True,True,8,6,9,10,7,4,1062,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
Diana Anderson,44,True,False,3,2,12,10,7,7,False,0,0,0,0,0,0,False,1,False,False,False,True,False,0,0,0,0,0,0,463,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience"
Amanda Moreno,39,False,False,2,2,7,4,11,12,True,5,10,12,11,3,1,False,2,True,False,True,False,True,0,0,0,0,0,0,1012,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Hannah Bell,18,True,True,5,3,5,8,12,11,False,0,0,0,0,0,4,False,0,False,False,False,True,False,2,1,5,10,4,6,413,"upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Ryan Hughes,27,True,False,2,3,12,5,10,12,True,6,8,6,7,1,5,False,2,False,True,True,True,True,0,0,0,0,0,0,501,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
Charles Martinez,27,False,False,6,1,4,10,6,6,True,11,10,12,4,3,1,True,1,True,True,True,True,True,0,0,0,0,0,0,1306,"upgrade to master degree, improve language test scores"
Wanda Roberson,31,False,False,6,0,11,6,10,5,False,0,0,0,0,5,3,False,2,True,False,True,False,True,0,0,0,0,0,0,1140,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores"
Melissa Brown,19,True,False,8,3,7,5,6,6,True,11,11,9,11,0,1,False,0,False,True,False,True,False,0,0,0,0,0,0,436,"improve language test scores, gain more Canadian work experience"
Robert Gonzales,26,False,False,8,3,11,9,9,9,False,0,0,0,0,6,2,True,2,False,True,False,False,True,0,0,0,0,0,0,650,improve multiple factors
Anthony Freeman,46,True,True,7,0,7,6,11,11,False,0,0,0,0,5,1,True,1,False,False,False,True,False,6,1,11,9,7,8,592,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores, explore provincial nomination programs"
Alyssa Anderson,38,True,True,3,0,7,7,9,7,True,8,9,7,11,5,4,False,2,False,True,False,True,False,2,2,10,9,11,4,478,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, explore provincial nomination programs"
William Walters,37,False,False,1,3,12,8,11,12,True,9,9,8,11,0,1,False,2,True,True,False,True,True,0,0,0,0,0,0,1005,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience"
Holly Howard,46,True,True,1,2,6,5,5,9,False,0,0,0,0,2,3,False,0,False,False,True,False,True,7,5,8,7,8,12,244,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience, secure Canadian job offer"
Samantha Collins,31,False,False,1,1,9,7,7,9,False,0,0,0,0,5,5,False,1,True,False,False,False,False,0,0,0,0,0,0,1100,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Ariana Farrell,46,False,False,1,2,7,5,8,8,True,9,4,6,6,3,5,False,1,True,True,True,True,True,0,0,0,0,0,0,1081,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Andrea Evans DVM,31,True,True,2,3,12,10,9,12,True,11,6,10,11,6,5,True,2,False,True,False,True,False,1,3,11,10,12,8,553,"apply soon to avoid further age point reductions, upgrade to  degree"
John Thompson,27,False,False,1,1,10,11,5,10,True,8,10,8,10,0,4,True,2,False,False,True,False,True,0,0,0,0,0,0,401,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
Christina Hall,47,True,False,8,3,10,10,11,8,True,12,8,7,12,1,3,False,2,False,True,False,True,True,0,0,0,0,0,0,538,"apply soon to avoid further age point reductions, improve language test scores, gain more Canadian work experience"
Michelle Long,36,True,False,3,0,9,8,4,11,False,0,0,0,0,3,3,True,0,True,True,False,True,True,0,0,0,0,0,0,1060,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, learn second official language"
Mark Schwartz,37,True,False,4,3,4,6,7,5,True,8,7,7,12,5,3,False,1,False,False,True,True,True,0,0,0,0,0,0,652,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores"
Antonio Pham,49,False,False,2,2,9,11,7,11,True,8,7,6,9,3,5,True,2,False,False,True,False,False,0,0,0,0,0,0,353,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Amber Wilson,32,True,True,4,2,4,11,10,5,False,0,0,0,0,1,3,False,2,False,False,False,True,True,6,5,8,12,10,5,510,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience, learn second official language"
Angela Hoffman,38,False,False,6,2,8,5,12,5,True,7,11,5,8,3,2,False,0,True,False,True,True,False,0,0,0,0,0,0,1038,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores, secure Canadian job offer"
Eileen Macias,20,False,False,4,0,12,11,10,7,False,0,0,0,0,6,2,True,0,True,True,True,True,False,0,0,0,0,0,0,1135,"upgrade to bachelor degree, improve language test scores"
John Ruiz,34,True,False,7,1,8,7,9,8,True,12,9,6,10,2,2,False,0,True,True,False,True,True,0,0,0,0,0,0,1097,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores, gain more Canadian work experience"
Bryan Morse,49,True,True,4,0,7,9,8,6,False,0,0,0,0,5,5,False,1,False,True,False,True,True,3,6,12,11,8,9,595,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores"
Michelle Meadows,47,True,False,4,2,10,8,7,6,True,8,5,6,7,3,4,False,2,True,True,False,True,False,0,0,0,0,0,0,1018,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores"
Luis Rogers,27,True,False,7,2,8,11,12,4,False,0,0,0,0,6,4,False,1,False,False,False,False,False,0,0,0,0,0,0,662,"upgrade to PhD degree, improve language test scores, learn second official language"
James Harris,43,False,False,4,2,9,9,11,11,True,9,7,8,8,5,4,False,1,True,False,True,True,False,0,0,0,0,0,0,1255,"apply soon to avoid further age point reductions, upgrade to bachelor degree"
Denise Watson,49,True,False,3,1,11,11,5,9,False,0,0,0,0,4,4,True,2,False,True,True,False,False,0,0,0,0,0,0,407,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Brendan Palmer,22,False,False,2,1,12,9,10,5,False,0,0,0,0,4,2,False,2,True,False,False,False,False,0,0,0,0,0,0,980,"upgrade to  degree, improve language test scores"
Bradley Lee,21,False,False,4,2,8,11,10,10,True,9,5,5,11,3,0,False,2,True,False,True,True,True,0,0,0,0,0,0,1176,"upgrade to bachelor degree, improve language test scores"
Steven Harvey,27,False,False,8,1,10,7,8,12,True,11,5,12,9,6,5,True,2,False,True,False,True,True,0,0,0,0,0,0,657,improve language test scores
Anita Kelley,18,True,False,6,0,9,12,9,4,False,0,0,0,0,4,4,True,0,True,True,True,True,True,0,0,0,0,0,0,1141,"upgrade to master degree, improve language test scores, learn second official language"
Samantha Rodgers,33,False,False,1,2,12,10,8,7,True,5,6,9,5,4,1,True,1,True,False,True,True,True,0,0,0,0,0,0,1220,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Diamond Carpenter,43,False,False,3,3,8,11,5,4,False,0,0,0,0,0,5,False,2,True,False,False,True,False,0,0,0,0,0,0,931,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience"
Bradley Smith,43,True,True,1,1,6,6,4,4,False,0,0,0,0,5,5,True,0,False,True,False,False,True,5,1,5,5,6,10,249,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, explore provincial nomination programs"
Denise Waller,49,True,False,5,3,7,11,10,12,False,0,0,0,0,1,2,True,1,True,True,False,False,True,0,0,0,0,0,0,1212,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience, learn second official language"
Gabriela Bean,20,True,False,6,1,4,11,5,10,False,0,0,0,0,3,4,False,2,True,False,True,False,False,0,0,0,0,0,0,1082,"upgrade to master degree, improve language test scores"
Jenny Byrd,23,False,False,4,2,9,5,12,6,False,0,0,0,0,3,0,False,2,True,True,True,True,True,0,0,0,0,0,0,1117,"upgrade to bachelor degree, improve language test scores"
Danielle Franco,35,True,True,8,3,4,10,8,10,False,0,0,0,0,2,3,True,0,False,True,True,True,False,4,3,10,10,6,4,544,"apply soon to avoid further age point reductions, improve language test scores, gain more Canadian work experience, secure Canadian job offer"
Sheila Howard,33,False,False,4,3,6,11,8,12,True,7,5,6,10,1,2,True,2,False,False,True,True,True,0,0,0,0,0,0,545,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Jessica Anderson,22,True,False,7,0,10,11,10,7,True,4,6,12,8,6,2,True,2,True,True,False,True,True,0,0,0,0,0,0,1232,"upgrade to PhD degree, improve language test scores"
Jamie Diaz,45,False,False,6,3,4,7,9,5,False,0,0,0,0,6,2,False,0,True,False,True,False,True,0,0,0,0,0,0,986,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores"
Janice Ferguson,29,True,True,8,1,6,12,6,8,True,12,6,5,8,2,1,False,1,False,False,True,True,True,7,2,6,7,8,9,709,"improve language test scores, gain more Canadian work experience"
Rebecca Allen,17,True,False,2,1,8,5,8,6,False,0,0,0,0,1,2,True,1,False,True,False,True,True,0,0,0,0,0,0,459,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
Jessica Hatfield,19,False,False,3,1,8,8,5,9,True,11,6,11,8,2,4,False,1,True,False,False,True,True,0,0,0,0,0,0,1272,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
Samuel Williams,17,False,False,5,1,12,12,10,11,False,0,0,0,0,6,0,False,1,True,False,False,False,False,0,0,0,0,0,0,1136,upgrade to bachelor degree
Vincent Martin,39,False,False,6,3,6,6,8,6,True,4,5,4,7,0,1,True,2,True,False,True,False,True,0,0,0,0,0,0,1020,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores, gain more Canadian work experience"
Amber Carson,34,False,False,3,2,4,12,11,8,False,0,0,0,0,3,0,False,0,False,True,False,False,False,0,0,0,0,0,0,374,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, learn second official language"
Crystal Howell,50,False,False,6,0,12,4,12,4,True,4,4,8,4,3,0,False,0,False,False,False,True,True,0,0,0,0,0,0,375,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores, explore provincial nomination programs"
Tasha Adams,31,False,False,5,3,11,4,12,12,False,0,0,0,0,1,4,False,1,False,True,False,True,True,0,0,0,0,0,0,722,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Jill Johnson,24,False,False,1,1,5,9,11,5,True,10,8,5,12,1,5,False,2,False,False,False,False,False,0,0,0,0,0,0,318,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
Nancy Mendoza,41,True,False,2,3,10,8,5,11,True,10,8,7,9,3,1,False,2,False,False,True,True,True,0,0,0,0,0,0,441,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Tiffany Phillips,34,True,True,8,0,7,5,8,5,True,11,11,9,4,4,3,False,1,True,True,True,True,True,1,0,9,11,6,11,1287,"apply soon to avoid further age point reductions, improve language test scores"
Teresa White,30,True,False,5,1,4,5,12,8,True,4,12,7,9,5,4,False,1,True,True,True,False,True,0,0,0,0,0,0,1314,"upgrade to bachelor degree, improve language test scores"
Shelly Jimenez,42,False,False,8,2,11,6,6,11,False,0,0,0,0,3,1,False,2,True,False,True,False,True,0,0,0,0,0,0,1081,"apply soon to avoid further age point reductions, improve language test scores, learn second official language"
Megan Valencia DDS,47,False,False,7,2,12,4,7,12,False,0,0,0,0,1,2,True,0,False,True,True,True,False,0,0,0,0,0,0,409,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores, gain more Canadian work experience, secure Canadian job offer"
Ernest Wilson,32,True,False,6,1,4,6,12,8,False,0,0,0,0,2,1,False,2,True,False,False,False,True,0,0,0,0,0,0,1060,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores, gain more Canadian work experience"
Jennifer Davis,42,False,False,2,3,9,6,5,10,True,11,4,12,6,5,0,True,0,True,False,False,True,False,0,0,0,0,0,0,926,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, secure Canadian job offer"
Dr. Ashley Burke,36,False,False,7,1,5,12,8,10,True,7,10,9,5,2,2,False,0,True,False,True,False,True,0,0,0,0,0,0,1061,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores, gain more Canadian work experience"
Maria Best,36,False,False,4,1,9,9,10,6,False,0,0,0,0,0,5,False,1,False,True,False,False,True,0,0,0,0,0,0,575,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Luis Williamson,36,True,True,2,1,8,4,8,5,True,5,8,5,10,3,5,False,1,False,True,True,True,False,5,3,6,4,10,6,564,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Tammy Duncan,41,True,True,3,3,4,11,9,10,True,5,9,12,4,6,5,False,0,True,True,True,True,True,6,1,7,5,7,4,1077,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Joshua Harper,20,True,True,1,0,8,8,8,11,False,0,0,0,0,3,1,False,2,True,False,True,False,False,3,5,10,6,12,5,970,"upgrade to  degree, improve language test scores, learn second official language"
Kelly Thomas,46,True,False,6,3,5,8,7,8,True,8,5,10,12,6,1,True,0,True,False,False,True,True,0,0,0,0,0,0,1051,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores"
Scott Johnston,20,True,False,1,2,10,9,11,5,True,11,11,10,4,2,2,False,0,True,True,False,True,False,0,0,0,0,0,0,989,"upgrade to  degree, improve language test scores, gain more Canadian work experience, secure Canadian job offer"
Stephen Welch,50,True,False,8,1,11,8,12,6,False,0,0,0,0,5,0,False,0,False,False,False,False,True,0,0,0,0,0,0,380,"apply soon to avoid further age point reductions, improve language test scores, explore provincial nomination programs"
Mike Williams,27,False,False,7,3,4,8,5,12,False,0,0,0,0,4,5,False,0,False,True,True,True,True,0,0,0,0,0,0,541,"upgrade to PhD degree, improve language test scores, explore provincial nomination programs"
Derek Hall,18,True,True,1,3,8,7,4,11,True,12,7,10,11,1,5,False,0,True,True,False,True,True,5,6,10,6,5,9,1007,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
Sierra Clay,36,True,True,4,2,4,7,7,5,True,10,4,6,6,2,5,False,1,True,False,False,True,False,1,4,6,10,11,4,1164,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Kathleen Barker,19,True,True,7,0,11,11,4,10,True,11,4,12,8,3,4,False,1,True,False,True,True,False,1,6,12,5,5,11,1316,"upgrade to PhD degree, improve language test scores"
Jonathan Rojas,29,False,False,6,1,11,12,8,5,True,10,10,10,9,2,5,False,1,False,False,False,False,False,0,0,0,0,0,0,635,"upgrade to master degree, improve language test scores, gain more Canadian work experience"
Melinda Tyler,17,True,False,8,3,6,7,4,11,True,6,11,9,8,1,0,False,2,True,True,True,False,False,0,0,0,0,0,0,1002,"improve language test scores, gain more Canadian work experience"
Christopher Salinas,24,True,False,4,1,8,6,7,12,False,0,0,0,0,5,2,True,2,False,False,False,True,False,0,0,0,0,0,0,499,"upgrade to bachelor degree, improve language test scores, learn second official language"
Nicole Stewart,34,True,True,1,1,5,6,5,4,False,0,0,0,0,0,1,False,1,False,False,False,False,True,3,6,9,9,10,12,400,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience, explore provincial nomination programs"
Emily Casey,40,False,False,1,0,5,4,10,8,False,0,0,0,0,0,0,True,0,True,True,False,False,True,0,0,0,0,0,0,809,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience"
Robert Taylor,24,False,False,3,0,5,9,10,6,True,12,7,5,6,2,3,True,2,True,True,False,True,True,0,0,0,0,0,0,1134,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
Debra Jordan,21,True,False,4,2,7,5,5,9,True,12,11,6,4,1,1,True,0,True,True,False,False,True,0,0,0,0,0,0,1039,"upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Brittany Nelson,24,True,True,4,2,10,11,6,6,False,0,0,0,0,0,3,True,1,True,False,True,True,False,5,5,11,9,6,12,1235,"upgrade to bachelor degree, improve language test scores, gain more Canadian work experience, learn second official language"
Christopher Phillips,50,True,True,2,2,6,4,9,5,True,4,12,12,9,1,2,False,1,False,True,False,True,True,2,1,11,12,5,8,479,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience"
Mrs. Kelsey Hernandez DVM,42,False,False,3,1,10,5,8,7,True,5,12,7,10,1,1,False,2,False,True,False,True,False,0,0,0,0,0,0,392,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience"
Kevin White,33,True,False,3,1,8,11,6,6,False,0,0,0,0,2,2,False,1,True,False,False,True,False,0,0,0,0,0,0,1169,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience, learn second official language"
Tonya Williams,47,False,False,8,1,4,8,12,6,True,6,9,6,8,4,1,True,2,False,True,True,True,True,0,0,0,0,0,0,483,"apply soon to avoid further age point reductions, improve language test scores"
Andrew Rodriguez,38,False,False,1,0,4,8,4,4,False,0,0,0,0,6,2,False,1,True,True,True,True,True,0,0,0,0,0,0,1095,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Rodney Rodriguez,21,False,False,1,3,8,4,9,12,True,10,8,9,6,5,0,False,2,False,False,True,False,False,0,0,0,0,0,0,405,"upgrade to  degree, improve language test scores"
Stephanie Ramirez,21,False,False,6,1,11,7,10,7,True,5,7,8,9,6,2,True,2,True,False,False,False,True,0,0,0,0,0,0,1161,"upgrade to master degree, improve language test scores"
Christian White,48,False,False,6,1,5,8,5,4,True,11,8,4,10,3,5,False,1,False,True,False,True,True,0,0,0,0,0,0,573,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores"
Angela Perez,25,False,False,5,1,9,6,8,4,False,0,0,0,0,6,2,False,2,False,True,True,False,True,0,0,0,0,0,0,542,"upgrade to bachelor degree, improve language test scores"
Amy Carey,34,True,False,6,0,11,9,9,5,False,0,0,0,0,6,2,False,2,False,True,True,True,True,0,0,0,0,0,0,556,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores, learn second official language"
Larry Peterson,31,False,False,7,2,10,12,8,11,False,0,0,0,0,1,1,True,1,True,True,False,False,True,0,0,0,0,0,0,1317,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores, gain more Canadian work experience"
Amy Diaz,39,True,True,3,2,4,7,5,6,True,6,10,4,12,4,0,True,1,False,True,True,False,True,7,2,6,9,9,4,604,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, explore provincial nomination programs"
Rachel Williams,37,False,False,6,1,8,11,12,8,False,0,0,0,0,6,3,False,0,False,True,True,True,False,0,0,0,0,0,0,513,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores, learn second official language, secure Canadian job offer"
Kristin Bradley,30,False,False,2,2,11,9,12,5,True,10,4,9,12,1,4,False,0,True,False,True,False,False,0,0,0,0,0,0,963,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
Dr. Lauren Robinson,29,False,False,4,0,6,6,8,10,True,7,5,12,7,6,3,True,1,True,True,True,False,False,0,0,0,0,0,0,1266,"upgrade to bachelor degree, improve language test scores"
Jesus Jackson,32,False,False,7,2,7,10,10,11,False,0,0,0,0,2,2,True,1,False,False,True,False,True,0,0,0,0,0,0,719,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores, gain more Canadian work experience"
Brianna Marshall,31,True,False,8,3,11,11,7,7,True,5,7,9,10,3,0,False,2,True,True,True,False,True,0,0,0,0,0,0,1211,"apply soon to avoid further age point reductions, improve language test scores"
Casey Sparks,45,True,False,6,2,11,10,9,11,False,0,0,0,0,4,0,True,1,True,False,False,False,False,0,0,0,0,0,0,1163,"apply soon to avoid further age point reductions, upgrade to master degree"
Evan Wright,38,False,False,1,2,9,5,9,5,True,5,7,12,8,3,5,True,0,True,True,False,False,False,0,0,0,0,0,0,892,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Nathaniel Roberts,23,True,True,8,1,7,4,9,12,False,0,0,0,0,1,5,True,0,False,False,True,False,False,4,5,8,6,9,12,454,"improve language test scores, gain more Canadian work experience"
Diane Cain,42,False,False,4,1,4,6,10,10,True,4,9,10,8,2,2,True,0,True,False,False,False,True,0,0,0,0,0,0,955,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Melissa Booth,47,False,False,8,3,4,9,10,6,True,6,4,10,11,0,1,True,2,False,False,False,False,True,0,0,0,0,0,0,401,"apply soon to avoid further age point reductions, improve language test scores, gain more Canadian work experience"
Brandi Pham,47,True,False,1,3,7,7,4,8,False,0,0,0,0,2,0,True,2,False,False,False,True,False,0,0,0,0,0,0,261,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience, learn second official language"
Mr. George Wallace,31,True,True,8,0,7,6,12,7,False,0,0,0,0,5,4,False,0,False,True,True,True,False,7,6,7,7,6,6,525,"apply soon to avoid further age point reductions, improve language test scores"
James Baker,17,False,False,7,3,9,9,9,8,False,0,0,0,0,1,1,False,1,True,True,False,True,False,0,0,0,0,0,0,1209,"upgrade to PhD degree, improve language test scores, gain more Canadian work experience"
Erica Price,36,False,False,1,3,12,7,12,7,True,6,9,8,5,5,3,True,1,True,False,False,True,False,0,0,0,0,0,0,1185,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Bobby Alexander,28,False,False,6,0,6,10,9,6,False,0,0,0,0,1,0,True,2,True,False,False,False,False,0,0,0,0,0,0,1026,"upgrade to master degree, improve language test scores, gain more Canadian work experience"
Jacqueline Lin,46,True,True,4,0,7,10,6,5,False,0,0,0,0,3,3,False,0,True,False,True,True,False,2,6,8,5,6,8,929,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores"
Brandon Allen,25,False,False,5,1,9,11,4,6,False,0,0,0,0,2,5,False,2,False,False,True,True,False,0,0,0,0,0,0,513,"upgrade to bachelor degree, improve language test scores, gain more Canadian work experience, explore provincial nomination programs"
Sarah Watkins,39,True,False,7,3,9,7,12,5,True,12,6,5,7,6,3,True,0,True,True,False,False,True,0,0,0,0,0,0,1114,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores, secure Canadian job offer"
Tammy Harper,39,True,True,4,2,7,8,5,12,True,8,9,6,7,4,5,True,1,True,False,False,True,False,4,1,5,4,12,5,1217,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores"
Abigail Williamson,47,True,False,1,2,12,6,4,10,False,0,0,0,0,4,0,True,0,False,False,False,True,True,0,0,0,0,0,0,285,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Robert Burton,43,False,False,7,0,12,8,9,12,False,0,0,0,0,3,5,False,2,False,True,False,False,False,0,0,0,0,0,0,438,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores, learn second official language"
Ann Haynes,50,True,True,2,2,5,5,9,12,True,4,6,8,10,3,3,True,0,True,True,False,True,False,6,6,6,11,5,10,928,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
David Weiss,29,False,False,4,2,8,6,7,10,False,0,0,0,0,4,0,False,1,False,True,False,False,True,0,0,0,0,0,0,653,"upgrade to bachelor degree, improve language test scores"
Phillip Owen,27,False,False,4,1,5,11,12,5,False,0,0,0,0,3,4,False,2,False,True,False,False,True,0,0,0,0,0,0,502,"upgrade to bachelor degree, improve language test scores, explore provincial nomination programs"
Kimberly Lane,17,False,False,6,2,5,5,5,7,True,9,4,8,7,4,1,False,2,False,True,False,False,False,0,0,0,0,0,0,350,"upgrade to master degree, improve language test scores"
Allen Williams,32,False,False,3,3,9,4,4,10,False,0,0,0,0,1,3,False,0,True,True,False,True,True,0,0,0,0,0,0,1056,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience, learn second official language"
Adam Mercer,33,True,False,6,2,5,10,7,5,False,0,0,0,0,5,3,False,0,True,True,False,False,True,0,0,0,0,0,0,1074,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores, secure Canadian job offer"
Jeremy Gonzalez,28,True,True,5,3,7,10,11,11,True,6,4,9,11,1,0,True,2,False,True,False,True,True,5,6,12,11,5,10,601,"upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Bradley Peters,27,False,False,7,0,4,7,4,8,True,5,10,12,6,0,0,True,2,False,False,False,False,False,0,0,0,0,0,0,376,"upgrade to PhD degree, improve language test scores, gain more Canadian work experience, explore provincial nomination programs"
Ashlee Thompson,18,True,True,3,3,6,11,6,4,False,0,0,0,0,6,3,True,1,False,True,True,True,False,1,3,4,5,9,5,683,"upgrade to  degree, improve language test scores"
Curtis Brown,25,False,False,2,3,10,7,10,11,False,0,0,0,0,6,3,False,1,False,True,False,False,False,0,0,0,0,0,0,619,"upgrade to  degree, improve language test scores, learn second official language"
Jocelyn Carter,38,True,False,1,1,10,5,10,11,False,0,0,0,0,0,0,False,1,False,False,False,True,True,0,0,0,0,0,0,469,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience"
Jennifer Ali,30,True,False,5,2,9,9,5,8,True,5,5,5,11,6,1,True,0,True,False,False,False,True,0,0,0,0,0,0,1098,"upgrade to bachelor degree, improve language test scores"
Bryan Coleman,20,False,False,2,0,9,11,5,6,True,5,11,11,12,1,0,True,1,True,True,True,True,True,0,0,0,0,0,0,1194,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
Tanya Morrow,37,True,True,2,3,6,11,8,4,True,4,6,4,12,2,0,True,2,True,False,True,True,True,5,0,5,6,11,6,1020,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience"
Ruth Smith,36,False,False,7,0,11,9,4,10,False,0,0,0,0,4,0,False,0,True,True,True,True,False,0,0,0,0,0,0,1084,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores"
Michael Pugh,28,False,False,1,1,8,5,8,10,False,0,0,0,0,5,0,True,0,True,False,True,False,False,0,0,0,0,0,0,916,"upgrade to  degree, improve language test scores, secure Canadian job offer"
Sean Munoz,34,True,True,4,0,11,7,7,10,False,0,0,0,0,2,1,True,2,True,True,True,True,False,7,4,7,12,5,10,1119,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience, learn second official language"
Matthew Larsen,25,False,False,4,2,5,9,8,12,False,0,0,0,0,0,5,False,0,False,True,True,True,True,0,0,0,0,0,0,442,"upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Kimberly Baker,40,True,False,4,0,4,8,9,11,True,6,7,11,4,1,2,True,2,True,True,False,True,True,0,0,0,0,0,0,1070,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
